SwissLipids ID	UniProtKB AC(s)	Gene name	Protein taxon	Taxon scientific name	Rhea ID	Reaction text	Evidence tag ID
SLP:000000070	P17898	CPT1	559292	Saccharomyces cerevisiae S288c	32940	a 1,2-diacyl-sn-glycerol + CDP-choline => a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H+	2795
SLP:000000070	P17898	CPT1	559292	Saccharomyces cerevisiae S288c	33776	1,2-diacyl-sn-glycerol + CDP-N,N-dimethylethanolamine => CMP(2-) + H+ + 1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine	2796
SLP:000000072	P36126	SPO14	559292	Saccharomyces cerevisiae S288c	14446	H2O + 1,2-diacyl-sn-glycero-3-phosphocholine => choline + H+ + 1,2-diacyl-sn-glycero-3-phosphate	2798 | 2799
SLP:000000073	Q04958	NTE1	559292	Saccharomyces cerevisiae S288c	15178	H2O + 1-acyl-sn-glycero-3-phosphocholine => H+ + choline alfoscerate + Fatty acids	2800 | 2801
SLP:000000074	Q02979	GDE1	559292	Saccharomyces cerevisiae S288c	16062	choline alfoscerate + H2O => choline + sn-glycerol 3-phosphate + H+	2803
SLP:000000074	Q02979	GDE1	559292	Saccharomyces cerevisiae S288c	16502	1-(sn-glycero-3-phospho)-1D-myo-inositol + H2O => sn-glycerol 3-phosphate + H+ + myo-inositol	2804
SLP:000000075	Q08959	PGC1	559292	Saccharomyces cerevisiae S288c	32928	H2O + 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) => H+ + 1,2-diacyl-sn-glycerol + sn-glycerol 3-phosphate	2806
SLP:000000076	P25346	GIT1	559292	Saccharomyces cerevisiae S288c	32912	choline alfoscerate => choline alfoscerate	2808
SLP:000000077	O16881	dhs-16	6239	Caenorhabditis elegans	35464	5alpha-cholest-7-en-3beta-ol + NAD+ => H+ + NADH + lathosterone	2809 | 2810
SLP:000000078	P39105	PLB1	559292	Saccharomyces cerevisiae S288c	32988	H2O + 1-acyl-sn-glycero-3-phospho-1D-myo-inositol => 1-(sn-glycero-3-phospho)-1D-myo-inositol + a carboxylate + H+	2815
SLP:000000078	P39105	PLB1	559292	Saccharomyces cerevisiae S288c	32980	1-acyl-sn-glycero-3-phospho-L-serine + H2O => H+ + sn-glycero-3-phosphoserine + Fatty acids	2816
SLP:000000078	P39105	PLB1	559292	Saccharomyces cerevisiae S288c	32984	2 H2O + 1,2-diacyl-sn-glycero-3-phospho-1D-myo-inositol => 1-(sn-glycero-3-phospho)-1D-myo-inositol + 2 a carboxylate + 2 H+	2819 | 2823
SLP:000000078	P39105	PLB1	559292	Saccharomyces cerevisiae S288c	32976	2 H2O + 1,2-diacyl-sn-glycero-3-phospho-L-serine => 2 a carboxylate + sn-glycero-3-phosphoserine + 2 H+	2820 | 2824
SLP:000000083	Q08548	ALE1	559292	Saccharomyces cerevisiae S288c	19710	1-acyl-sn-glycero-3-phosphate + Fatty acyl-CoA => CoA + 1,2-diacyl-sn-glycero-3-phosphate	2831
SLP:000000044	Q17449	faah-1	6239	Caenorhabditis elegans	26137	H2O + anandamide => ethanolamine + (5Z,8Z,11Z,14Z)-eicosatetraenoate	2832
SLP:000000084	P05375	OPI3	559292	Saccharomyces cerevisiae S288c	11165	S-adenosyl-L-methionine + 1,2-diacyl-sn-glycero-3-phosphoethanolamine => S-adenosyl-L-homocysteine + H+ + 1,2-diacyl-sn-glycero-3-phospho-N-methylethanolamine	2833
SLP:000000084	P05375	OPI3	559292	Saccharomyces cerevisiae S288c	32736	1,2-diacyl-sn-glycero-3-phospho-N-methylethanolamine + S-adenosyl-L-methionine => H+ + S-adenosyl-L-homocysteine + 1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine	2834
SLP:000000084	P05375	OPI3	559292	Saccharomyces cerevisiae S288c	32740	S-adenosyl-L-methionine + 1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine => 1,2-diacyl-sn-glycero-3-phosphocholine + H+ + S-adenosyl-L-homocysteine	2835
SLP:000000085	P05374	CHO2	559292	Saccharomyces cerevisiae S288c	11165	S-adenosyl-L-methionine + 1,2-diacyl-sn-glycero-3-phosphoethanolamine => S-adenosyl-L-homocysteine + H+ + 1,2-diacyl-sn-glycero-3-phospho-N-methylethanolamine	2836
SLP:000000073	Q04958	NTE1	559292	Saccharomyces cerevisiae S288c	32908	2 H2O + 1,2-diacyl-sn-glycero-3-phosphocholine => 2 a carboxylate + 2 H+ + choline alfoscerate	2844
SLP:000000096	O15120	AGPAT2	9606	Homo sapiens	19710	1-acyl-sn-glycero-3-phosphate + Fatty acyl-CoA => CoA + 1,2-diacyl-sn-glycero-3-phosphate	2922
SLP:000000044	Q17449	faah-1	6239	Caenorhabditis elegans	35568	H2O + linoleoyl ethanolamide => ethanolamine + (9Z,12Z)-octadecadienoate	2871
SLP:000000044	Q17449	faah-1	6239	Caenorhabditis elegans	35564	H2O + N-(9Z-hexadecenoyl) ethanolamine => (9Z)-hexadecenoate + ethanolamine	2885
SLP:000000044	Q17449	faah-1	6239	Caenorhabditis elegans	35520	H2O + (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl ethanolamine => (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate + ethanolamine	2886
SLP:000000014	Q20735	sms-2	6239	Caenorhabditis elegans	34608	1,2-diacyl-sn-glycero-3-phosphocholine + Ceramide (iso-d17:1(4E)) => 1,2-diacyl-sn-glycerol + Sphingomyelin (iso-d17:1(4E))	2887
SLP:000000013	Q9U3D4	sms-1	6239	Caenorhabditis elegans	34608	1,2-diacyl-sn-glycero-3-phosphocholine + Ceramide (iso-d17:1(4E)) => 1,2-diacyl-sn-glycerol + Sphingomyelin (iso-d17:1(4E))	2888
SLP:000000008	Q9Y194	spl-1	6239	Caenorhabditis elegans	34720	15-methylhexadecasphing-4-enine 1-phosphate => trans-13-methyltetradec-2-enal + phosphoethanolamine	2890 | 2891
SLP:000000109	Q12246	LCB4	559292	Saccharomyces cerevisiae S288c	33564	4-hydroxysphinganine + ATP => phytosphingosine 1-phosphate + H+ + ADP	2895 | 12705 | 17279
SLP:000000109	Q12246	LCB4	559292	Saccharomyces cerevisiae S288c	15466	sphinganine + ATP => ADP + sphinganine 1-phosphate + H+	2893
SLP:000000110	Q06147	LCB5	559292	Saccharomyces cerevisiae S288c	33564	4-hydroxysphinganine + ATP => phytosphingosine 1-phosphate + H+ + ADP	2894
SLP:000000110	Q06147	LCB5	559292	Saccharomyces cerevisiae S288c	15466	sphinganine + ATP => ADP + sphinganine 1-phosphate + H+	2892
SLP:000000111	Q9NYA1	SPHK1	9606	Homo sapiens	15466	sphinganine + ATP => ADP + sphinganine 1-phosphate + H+	4183 | 5651 | 18226
SLP:000000112	Q9NRA0	SPHK2	9606	Homo sapiens	15466	sphinganine + ATP => ADP + sphinganine 1-phosphate + H+	18222
SLP:000000113	Q9JIA7	Sphk2	10090	Mus musculus	15466	sphinganine + ATP => ADP + sphinganine 1-phosphate + H+	2897
SLP:000000114	Q8CI15	Sphk1	10090	Mus musculus	15466	sphinganine + ATP => ADP + sphinganine 1-phosphate + H+	4174
SLP:000000122	P32383	PLC1	559292	Saccharomyces cerevisiae S288c	33180	H2O + 1,2-diacyl-sn-glycero-3-phospho-1D-myo-inositol-4,5-bisphosphate => 1D-myo-inositol 1,4,5-trisphosphate + 1,2-diacyl-sn-glycerol + H+	2911
SLP:000000125	Q9UJA2	CRLS1	9606	Homo sapiens	32932	a CDP-diacylglycerol + 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) => a cardiolipin + H+ + CMP(2-)	2918 | 2919
SLP:000000126	Q6UWP7	LCLAT1	9606	Homo sapiens	33196	Fatty acyl-CoA + 1-acyl-sn-glycero-3-phospho-1D-myo-inositol => CoA + 1,2-diacyl-sn-glycero-3-phospho-1D-myo-inositol	2920
SLP:000000126	Q6UWP7	LCLAT1	9606	Homo sapiens	33204	Fatty acyl-CoA + 1-acyl-sn-glycero-3-phospho-(1'-sn-glycerol) => 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) + CoA	2921
SLP:000000094	Q9HCL2	GPAM	9606	Homo sapiens	33204	Fatty acyl-CoA + 1-acyl-sn-glycero-3-phospho-(1'-sn-glycerol) => 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) + CoA	2925
SLP:000000129	P38225	FAT1	559292	Saccharomyces cerevisiae S288c	33640	ATP + tetracosanoate + CoA => diphosphate + AMP + tetracosanoyl-CoA	2927 | 13488
SLP:000000130	P47912	FAA4	559292	Saccharomyces cerevisiae S288c	33648	ATP + CoA + (9Z)-hexadecenoate => diphosphate + (9Z)-hexadecenoyl-CoA + AMP	2928
SLP:000000130	P47912	FAA4	559292	Saccharomyces cerevisiae S288c	33608	ATP + (9Z)-octadecenoate + CoA => (9Z)-octadecenoyl-CoA + diphosphate + AMP	2929
SLP:000000083	Q08548	ALE1	559292	Saccharomyces cerevisiae S288c	32996	Fatty acyl-CoA + 1-acyl-sn-glycero-3-phosphoethanolamine => CoA + 1,2-diacyl-sn-glycero-3-phosphoethanolamine	2932
SLP:000000132	P30624	FAA1	559292	Saccharomyces cerevisiae S288c	33608	ATP + (9Z)-octadecenoate + CoA => (9Z)-octadecenoyl-CoA + diphosphate + AMP	2933 | 12714
SLP:000000079	Q06508	LOA1	559292	Saccharomyces cerevisiae S288c	33188	(9Z)-octadecenoyl-CoA + 1-hexadecanoyl-sn-glycero-3-phosphate => CoA + 1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphate	2935
SLP:000000133	Q6ZNC8	MBOAT1	9606	Homo sapiens	33192	1-acyl-sn-glycero-3-phospho-L-serine + Fatty acyl-CoA => CoA + 1,2-diacyl-sn-glycero-3-phospho-L-serine	2937
SLP:000000134	Q6ZWT7	MBOAT2	9606	Homo sapiens	19710	1-acyl-sn-glycero-3-phosphate + Fatty acyl-CoA => CoA + 1,2-diacyl-sn-glycero-3-phosphate	2938
SLP:000000134	Q6ZWT7	MBOAT2	9606	Homo sapiens	32996	Fatty acyl-CoA + 1-acyl-sn-glycero-3-phosphoethanolamine => CoA + 1,2-diacyl-sn-glycero-3-phosphoethanolamine	2939
SLP:000000134	Q6ZWT7	MBOAT2	9606	Homo sapiens	33188	(9Z)-octadecenoyl-CoA + 1-hexadecanoyl-sn-glycero-3-phosphate => CoA + 1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphate	2940
SLP:000000138	P37268	FDFT1	9606	Homo sapiens	22229	NADH + H+ + presqualene diphosphate => NAD+ + squalene + diphosphate	14006
SLP:000000138	P37268	FDFT1	9606	Homo sapiens	22233	H+ + presqualene diphosphate + NADPH => NADP+ + diphosphate + squalene	14005
SLP:000000138	P37268	FDFT1	9606	Homo sapiens	22673	2 (2E,6E)-farnesyl diphosphate => presqualene diphosphate + diphosphate	14004
SLP:000000141	P41222	PTGDS	9606	Homo sapiens	10601	Prostaglandin H2 => Prostaglandin D2	6701
SLP:000000145	O00519	FAAH	9606	Homo sapiens	26137	H2O + anandamide => ethanolamine + (5Z,8Z,11Z,14Z)-eicosatetraenoate	13076
SLP:000000146	Q8N335	GPD1L	9606	Homo sapiens	11093	sn-glycerol 3-phosphate + NAD+ => glycerone phosphate + H+ + NADH	5523
SLP:000000147	P43304	GPD2	9606	Homo sapiens	18978	sn-glycerol 3-phosphate + a quinone => glycerone phosphate + a quinol	2946
SLP:000000107	O95470	SGPL1	9606	Homo sapiens	33508	sphing-4-enine 1-phosphate => (2E)-hexadecenal + phosphoethanolamine	4231 | 18233
SLP:000000107	O95470	SGPL1	9606	Homo sapiens	18594		sphinganine 1-phosphate => hexadecanal + phosphoethanolamine	4206 | 4238 | 12153 | 18234
SLP:000000155	Q06136	KDSR	9606	Homo sapiens	22642	3-oxosphinganine + H+ + NADPH => NADP+ + sphinganine 	11054
SLP:000000158	Q9BX95	SGPP1	9606	Homo sapiens	27515	H2O + sphinganine 1-phosphate => octadecasphinganine + phosphate	12157 | 18229
SLP:000000159	Q8IWX5	SGPP2	9606	Homo sapiens	27515	H2O + sphinganine 1-phosphate => octadecasphinganine + phosphate	4197 | 18230
SLP:000000166	O15121	DEGS1	9606	Homo sapiens	36076	Ceramide (d18:0) + hydrogen donor + O2 => 2 H2O + A + Ceramide (d18:1(4E))	2951
SLP:000000167	O09005	Degs1	10090	Mus musculus	36076	Ceramide (d18:0) + hydrogen donor + O2 => 2 H2O + A + Ceramide (d18:1(4E))	2952
SLP:000000169	Q94515	ifc	7227	Drosophila melanogaster	36076	Ceramide (d18:0) + hydrogen donor + O2 => 2 H2O + A + Ceramide (d18:1(4E))	2954
SLP:000000171	Q86VZ5	SGMS1	9606	Homo sapiens	18766	Ceramide (d18:1(4E)) + 1,2-diacyl-sn-glycero-3-phosphocholine => 1,2-diacyl-sn-glycerol + Sphingomyelin (d18:1(4E))	11271 | 12442 | 12450 | 18343
SLP:000000172	Q8NHU3	SGMS2	9606	Homo sapiens	18766	Ceramide (d18:1(4E)) + 1,2-diacyl-sn-glycero-3-phosphocholine => 1,2-diacyl-sn-glycerol + Sphingomyelin (d18:1(4E))	12443 | 12451 | 18344
SLP:000000174	O60906	SMPD2	9606	Homo sapiens	36088	1-O-hexadecyl-sn-glycero-3-phosphocholine + H2O => 1-O-hexadecyl-sn-glycerol + choline phosphate + H+	2958
SLP:000000198	P51648	ALDH3A2	9606	Homo sapiens	36136	trans-hexadec-2-enal + NAD+ + H2O => NADH + 2 H+ + (E)-hexadec-2-enoate	3019 | 3020
SLP:000000199	P33121	ACSL1	9606	Homo sapiens	36140	ATP + (E)-hexadec-2-enoate + CoA => AMP + (2E)-hexadecenoyl-CoA + diphosphate	3022 | 4479
SLP:000000200	O95573	ACSL3	9606	Homo sapiens	36140	ATP + (E)-hexadec-2-enoate + CoA => AMP + (2E)-hexadecenoyl-CoA + diphosphate	3023
SLP:000000201	O60488	ACSL4	9606	Homo sapiens	36140	ATP + (E)-hexadec-2-enoate + CoA => AMP + (2E)-hexadecenoyl-CoA + diphosphate	3024
SLP:000000202	Q9ULC5	ACSL5	9606	Homo sapiens	36140	ATP + (E)-hexadec-2-enoate + CoA => AMP + (2E)-hexadecenoyl-CoA + diphosphate	3025
SLP:000000203	Q9UKU0	ACSL6	9606	Homo sapiens	36140	ATP + (E)-hexadec-2-enoate + CoA => AMP + (2E)-hexadecenoyl-CoA + diphosphate	3026 | 4489
SLP:000000208	Q8WVX9	FAR1	9606	Homo sapiens	36316	2 NADPH + 2 H+ + hexadecanoyl-CoA => 2 NADP+ + hexadecan-1-ol + CoA	3036 | 5289
SLP:000000209	Q96K12	FAR2	9606	Homo sapiens	36316	2 NADPH + 2 H+ + hexadecanoyl-CoA => 2 NADP+ + hexadecan-1-ol + CoA	3035
SLP:000000210	Q922J9	Far1	10090	Mus musculus	36316	2 NADPH + 2 H+ + hexadecanoyl-CoA => 2 NADP+ + hexadecan-1-ol + CoA	3031
SLP:000000210	Q922J9	Far1	10090	Mus musculus	36320	2 H+ + 2 NADPH + octadecanoyl-CoA => CoA + 2 NADP+ + octadecan-1-ol	3032
SLP:000000211	Q7TNT2	Far2	10090	Mus musculus	36316	2 NADPH + 2 H+ + hexadecanoyl-CoA => 2 NADP+ + hexadecan-1-ol + CoA	3033
SLP:000000211	Q7TNT2	Far2	10090	Mus musculus	36320	2 H+ + 2 NADPH + octadecanoyl-CoA => CoA + 2 NADP+ + octadecan-1-ol	3034
SLP:000000210	Q922J9	Far1	10090	Mus musculus	36324	(9Z)-octadecenoyl-CoA + 2 NADPH + 2 H+ => (9Z)-octadecen-1-ol + 2 NADP+ + CoA	3038
SLP:000000210	Q922J9	Far1	10090	Mus musculus	36364	2 H+ + 2 NADPH + (9Z,12Z)-octadecadienoyl-CoA => 2 NADP+ + (9Z,12Z)-octadecadien-1-ol + CoA	3045
SLP:000000215	Q9JJY3	Smpd3	10090	Mus musculus	19254	H2O + Sphingomyelin (d18:1(4E)) => Ceramide (d18:1(4E)) + H+ + choline phosphate	3050 | 13282 | 13464
SLP:000000113	Q9JIA7	Sphk2	10090	Mus musculus	35848	ATP + sphing-4-enine => ADP + H+ + sphing-4-enine 1-phosphate	3054
SLP:000000198	P51648	ALDH3A2	9606	Homo sapiens	33741	H2O + hexadecanal + NAD+ => 2 H+ + hexadecanoate + NADH 	3057 | 12781 | 12829
SLP:000000061	P38812	GEP4	559292	Saccharomyces cerevisiae S288c	33752	1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol-3'-phosphate) + H2O => phosphate + 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol)	3065
SLP:000000222	P18200	pgpA	83333	Escherichia coli K-12	33752	1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol-3'-phosphate) + H2O => phosphate + 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol)	3069
SLP:000000240	P53230	TAM41	559292	Saccharomyces cerevisiae S288c	16230	CTP + H+ + 1,2-diacyl-sn-glycero-3-phosphate => diphosphate + a CDP-diacylglycerol	3072
SLP:000000241	Q04458	HFD1	559292	Saccharomyces cerevisiae S288c	33741	H2O + hexadecanal + NAD+ => 2 H+ + hexadecanoate + NADH 	3073
SLP:000000245	Q9NXB9	ELOVL2	9606	Homo sapiens	36476	malonyl-CoA + (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + H+ => 3-oxo-(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA + CO2 + CoA	3125 | 3141 | 3158 | 3378
SLP:000000245	Q9NXB9	ELOVL2	9606	Homo sapiens	36480	malonyl-CoA + H+ + (7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA => CoA + CO2 + 3-oxo-(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	3157 | 3379
SLP:000000245	Q9NXB9	ELOVL2	9606	Homo sapiens	36484	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA + malonyl-CoA + H+ => CO2 + CoA + 3-oxo-(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	3156 | 3377
SLP:000000245	Q9NXB9	ELOVL2	9606	Homo sapiens	36492	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA + malonyl-CoA + H+ => CoA + CO2 + 3-oxo-(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	3155 | 3376
SLP:000000249	Q9BW60	ELOVL1	9606	Homo sapiens	35328	malonyl-CoA + eicosanoyl-CoA + H+ => CoA + 3-oxodocosanoyl-CoA + CO2	3087 | 3136 | 3148
SLP:000000250	A1L3X0	ELOVL7	9606	Homo sapiens	35328	malonyl-CoA + eicosanoyl-CoA + H+ => CoA + 3-oxodocosanoyl-CoA + CO2	3086 | 3127 | 3145
SLP:000000251	O95822	MLYCD	9606	Homo sapiens	18782	malonyl-CoA + H+ => acetyl-CoA + CO2	3085 | 3088
SLP:000000248	Q9HB03	ELOVL3	9606	Homo sapiens	35328	malonyl-CoA + eicosanoyl-CoA + H+ => CoA + 3-oxodocosanoyl-CoA + CO2	3090 | 3140
SLP:000000248	Q9HB03	ELOVL3	9606	Homo sapiens	35316	hexadecanoyl-CoA + malonyl-CoA + H+ => CoA + CO2 + 3-oxooctadecanoyl-CoA	3093 | 5448
SLP:000000248	Q9HB03	ELOVL3	9606	Homo sapiens	35320	octadecanoyl-CoA + H+ + malonyl-CoA => 3-oxoeicosanoyl-CoA + CoA + CO2	3096 | 3139
SLP:000000249	Q9BW60	ELOVL1	9606	Homo sapiens	35320	octadecanoyl-CoA + H+ + malonyl-CoA => 3-oxoeicosanoyl-CoA + CoA + CO2	3097 | 3135 | 3147
SLP:000000253	Q9NYP7	ELOVL5	9606	Homo sapiens	35380	(6Z,9Z,12Z)-octadecatrienoyl-CoA + H+ + malonyl-CoA => 3-oxo-(8Z,11Z,14Z)-eicosatrienoyl-CoA + CoA + CO2	3099 | 5044
SLP:000000253	Q9NYP7	ELOVL5	9606	Homo sapiens	36476	malonyl-CoA + (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + H+ => 3-oxo-(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA + CO2 + CoA	3100 | 3142 | 5045
SLP:000000254	Q9H5J4	ELOVL6	9606	Homo sapiens	35316	hexadecanoyl-CoA + malonyl-CoA + H+ => CoA + CO2 + 3-oxooctadecanoyl-CoA	3103 | 3134 | 11917
SLP:000000253	Q9NYP7	ELOVL5	9606	Homo sapiens	36504	H+ + (9Z,12Z)-octadecadienoyl-CoA + malonyl-CoA => 3-oxo-(11Z,14Z)-eicosadienoyl-CoA + CoA + CO2	3104
SLP:000000254	Q9H5J4	ELOVL6	9606	Homo sapiens	36512	malonyl-CoA + H+ + (9Z)-octadecenoyl-CoA => CoA + CO2 + 3-oxo-(11Z)-eicosenoyl-CoA	3105
